instrument_key,name,last_price,instrument_type,exchange
NSE_INDEX|Nifty 50,Nifty 50,21462.25,INDEX,NSE_INDEX
NSE_INDEX|NIFTY50 EQL Wgt,NIFTY50 EQL Wgt,26562.1,INDEX,NSE_INDEX
NSE_INDEX|NIFTY100 EQL Wgt,NIFTY100 EQL Wgt,26874.85,INDEX,NSE_INDEX
NSE_INDEX|NIFTY100 LowVol30,NIFTY100 LowVol30,17164.85,INDEX,NSE_INDEX
NSE_INDEX|NIFTY Alpha 50,NIFTY Alpha 50,44251.1,INDEX,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 150,NIFTY MIDCAP 150,17409.45,INDEX,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 50,NIFTY SMLCAP 50,7187.4,INDEX,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 250,NIFTY SMLCAP 250,14394.95,INDEX,NSE_INDEX
NSE_INDEX|NIFTY MIDSML 400,NIFTY MIDSML 400,16359.65,INDEX,NSE_INDEX
NSE_INDEX|NIFTY200 QUALTY30,NIFTY200 QUALTY30,18450.65,INDEX,NSE_INDEX
NSE_INDEX|Nifty FinSrv25 50,Nifty FinSrv25 50,21862.15,INDEX,NSE_INDEX
NSE_INDEX|NIFTY AlphaLowVol,NIFTY AlphaLowVol,23613.95,INDEX,NSE_INDEX
NSE_INDEX|Nifty200Momentm30,Nifty200Momentm30,27739.1,INDEX,NSE_INDEX
NSE_INDEX|Nifty100ESGSecLdr,Nifty100ESGSecLdr,3515.1,INDEX,NSE_INDEX
NSE_INDEX|NIFTY100 ESG,NIFTY100 ESG,4176.15,INDEX,NSE_INDEX
NSE_INDEX|NIFTY M150 QLTY50,NIFTY M150 QLTY50,20626,INDEX,NSE_INDEX
NSE_INDEX|NIFTY INDIA MFG,NIFTY INDIA MFG,10974.1,INDEX,NSE_INDEX
NSE_INDEX|Nifty200 Alpha 30,Nifty200 Alpha 30,21160.05,INDEX,NSE_INDEX
NSE_INDEX|NiftyM150Momntm50,NiftyM150Momntm50,50279.15,INDEX,NSE_INDEX
NSE_INDEX|Nifty IT,Nifty IT,36730.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty Next 50,Nifty Next 50,53948.4,INDEX,NSE_INDEX
NSE_INDEX|Nifty Bank,Nifty Bank,45713.55,INDEX,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 100,NIFTY MIDCAP 100,47099.85,INDEX,NSE_INDEX
NSE_INDEX|Nifty 500,Nifty 500,19414.8,INDEX,NSE_INDEX
NSE_INDEX|Nifty 100,Nifty 100,21730.1,INDEX,NSE_INDEX
NSE_INDEX|Nifty Midcap 50,Nifty Midcap 50,13292.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty Realty,Nifty Realty,862.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty Infra,Nifty Infra,7544.25,INDEX,NSE_INDEX
NSE_INDEX|Nifty Energy,Nifty Energy,34580.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty FMCG,Nifty FMCG,55953.6,INDEX,NSE_INDEX
NSE_INDEX|Nifty MNC,Nifty MNC,23860.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty Pharma,Nifty Pharma,17331.25,INDEX,NSE_INDEX
NSE_INDEX|Nifty PSE,Nifty PSE,8078.95,INDEX,NSE_INDEX
NSE_INDEX|Nifty PSU Bank,Nifty PSU Bank,5877.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty Serv Sector,Nifty Serv Sector,27056.6,INDEX,NSE_INDEX
NSE_INDEX|India VIX,India VIX,14.07,INDEX,NSE_INDEX
NSE_INDEX|Nifty Auto,Nifty Auto,18496.25,INDEX,NSE_INDEX
NSE_INDEX|Nifty Metal,Nifty Metal,7629.1,INDEX,NSE_INDEX
NSE_INDEX|Nifty Media,Nifty Media,2392.9,INDEX,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 100,NIFTY SMLCAP 100,15320.6,INDEX,NSE_INDEX
NSE_INDEX|Nifty 200,Nifty 200,11749.35,INDEX,NSE_INDEX
NSE_INDEX|Nifty Div Opps 50,Nifty Div Opps 50,5502.05,INDEX,NSE_INDEX
NSE_INDEX|Nifty Commodities,Nifty Commodities,7623,INDEX,NSE_INDEX
NSE_INDEX|Nifty Consumption,Nifty Consumption,9501.7,INDEX,NSE_INDEX
NSE_INDEX|Nifty Fin Service,Nifty Fin Service,20324.05,INDEX,NSE_INDEX
NSE_INDEX|Nifty50 Div Point,Nifty50 Div Point,181.93,INDEX,NSE_INDEX
NSE_INDEX|Nifty100 Liq 15,Nifty100 Liq 15,5931,INDEX,NSE_INDEX
NSE_INDEX|Nifty CPSE,Nifty CPSE,4980.65,INDEX,NSE_INDEX
NSE_INDEX|Nifty GrowSect 15,Nifty GrowSect 15,10967.9,INDEX,NSE_INDEX
NSE_INDEX|Nifty50 PR 2x Lev,Nifty50 PR 2x Lev,11541.35,INDEX,NSE_INDEX
NSE_INDEX|Nifty50 PR 1x Inv,Nifty50 PR 1x Inv,223.15,INDEX,NSE_INDEX
NSE_INDEX|Nifty50 TR 2x Lev,Nifty50 TR 2x Lev,16456.2,INDEX,NSE_INDEX
NSE_INDEX|Nifty50 TR 1x Inv,Nifty50 TR 1x Inv,187.05,INDEX,NSE_INDEX
NSE_INDEX|Nifty50 Value 20,Nifty50 Value 20,11748.45,INDEX,NSE_INDEX
NSE_INDEX|Nifty Mid Liq 15,Nifty Mid Liq 15,11002.25,INDEX,NSE_INDEX
NSE_INDEX|Nifty Pvt Bank,Nifty Pvt Bank,23603,INDEX,NSE_INDEX
NSE_INDEX|NIFTY100 Qualty30,NIFTY100 Qualty30,4980.5,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS 8 13Yr,Nifty GS 8 13Yr,2532.21,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS 10Yr,Nifty GS 10Yr,2241.77,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS 10Yr Cln,Nifty GS 10Yr Cln,870.62,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS 4 8Yr,Nifty GS 4 8Yr,2758.32,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS 11 15Yr,Nifty GS 11 15Yr,2776.13,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS 15YrPlus,Nifty GS 15YrPlus,3026.51,INDEX,NSE_INDEX
NSE_INDEX|Nifty GS Compsite,Nifty GS Compsite,2614.35,INDEX,NSE_INDEX
NSE_INDEX|NIFTY HEALTHCARE,NIFTY HEALTHCARE,10926.3,INDEX,NSE_INDEX
NSE_INDEX|NIFTY CONSR DURBL,NIFTY CONSR DURBL,31703.5,INDEX,NSE_INDEX
NSE_INDEX|NIFTY OIL AND GAS,NIFTY OIL AND GAS,10189.4,INDEX,NSE_INDEX
NSE_INDEX|NIFTY500 MULTICAP,NIFTY500 MULTICAP,13433.9,INDEX,NSE_INDEX
NSE_INDEX|NIFTY LARGEMID250,NIFTY LARGEMID250,13419.75,INDEX,NSE_INDEX
NSE_INDEX|NIFTY MID SELECT,NIFTY MID SELECT,10449.9,INDEX,NSE_INDEX
NSE_INDEX|NIFTY TOTAL MKT,NIFTY TOTAL MKT,10919.95,INDEX,NSE_INDEX
NSE_INDEX|NIFTY MICROCAP250,NIFTY MICROCAP250,19510.5,INDEX,NSE_INDEX
NSE_INDEX|NIFTY IND DIGITAL,NIFTY IND DIGITAL,7515.85,INDEX,NSE_INDEX
